row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
6921,2022-08-06,2022-08,E3,Mansfield,Tranmere,draw,home,0.2866036777351197,0.26610644257703087,0.020497235158088822,0.013777555693862475,-0.017825960651474015,3.6,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
7049,2022-08-13,2022-08,E3,Salford,Crewe,away,home,0.24078953439748618,0.22010344200803078,0.0206860923894554,0.013675236198410686,-0.016595088798003088,4.33,"[4.0,5.0)",False,-1.0,"E3|away|[4.0,5.0)"
7183,2022-08-16,2022-08,E3,Hartlepool,Tranmere,draw,draw,0.34044509446678595,0.31681589598920645,0.023629198477579494,0.013777555693862475,-0.019997383681229497,3.0,"[2.8,3.5)",True,2.0,"E3|draw|[2.8,3.5)"
7373,2022-08-27,2022-08,E3,Leyton Orient,Hartlepool,home,home,0.6134710004617867,0.5747126436781609,0.038758356783625825,0.014626390560404443,-0.011906393662719394,1.65,"[1.0,1.8)",True,0.6499999999999999,"E3|home|[1.0,1.8)"
7394,2022-08-27,2022-08,E3,AFC Wimbledon,Barrow,draw,away,0.30320537293427763,0.27992197296920723,0.023283399965070395,0.013777555693862475,-0.015945421382588476,3.4,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
7939,2022-09-17,2022-09,E3,Stockport,Harrogate,home,draw,0.6383444036203717,0.6043404859191114,0.03400391770126032,0.013916911039986938,-0.01964883664879591,1.57,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
8105,2022-09-24,2022-09,E3,Hartlepool,Gillingham,draw,draw,0.3169158986450359,0.29347826086956524,0.023437637775470643,0.01310292067279683,-0.012607821590223112,3.25,"[2.8,3.5)",True,2.25,"E3|draw|[2.8,3.5)"
8123,2022-09-30,2022-09,E3,Mansfield,Hartlepool,home,draw,0.7193125540528984,0.6761868406440866,0.04312571340881177,0.013916911039986938,-0.012446099781924014,1.4,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
8220,2022-10-01,2022-10,E3,Swindon,Northampton,draw,away,0.3207762482510754,0.2995464405442714,0.02122980770680405,0.01258105189501364,-0.013775371660602165,3.2,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
8377,2022-10-08,2022-10,E3,Grimsby,Crawley Town,home,home,0.5873122186604066,0.5510440835266821,0.03626813513372451,0.013418750808078915,-0.012903235293996285,1.72,"[1.0,1.8)",True,0.72,"E3|home|[1.0,1.8)"
8905,2022-10-25,2022-10,E3,Colchester,Crawley Town,home,draw,0.42736327521893497,0.4027876210725253,0.024575654146409665,0.013418750808078915,-0.0189514771462711,2.37,"[2.2,2.8)",False,-1.0,"E3|home|[2.2,2.8)"
8907,2022-10-25,2022-10,E3,Leyton Orient,Gillingham,draw,home,0.2941722886113073,0.27062228654124454,0.023550002070062748,0.01258105189501364,-0.014430671492972169,3.5,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
9387,2022-11-12,2022-11,E3,Stevenage,Hartlepool,home,home,0.6705417342357889,0.6214709329166518,0.0490708013191371,0.012750934232831948,0.00641992400452418,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
9502,2022-11-19,2022-11,E3,Harrogate,Mansfield,away,home,0.5195975510419121,0.489795918367347,0.029801632674565093,0.011887200111961763,-0.009964815686596906,1.95,"[1.8,2.2)",False,-1.0,"E3|away|[1.8,2.2)"
9544,2022-12-03,2022-12,E3,Hartlepool,Stockport,away,away,0.7033675640233548,0.6363636363636365,0.0670039276597183,0.011659483258851465,0.037562121146754945,1.5,"[1.0,1.8)",True,0.5,"E3|away|[1.0,1.8)"
9614,2022-12-10,2022-12,E3,Stevenage,Mansfield,home,draw,0.48117777064687156,0.45434298440979953,0.026834786237072028,0.012492202119573026,-0.015760306092672982,2.1,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
9760,2022-12-26,2022-12,E3,Stockport,Crewe,home,home,0.7109863670137148,0.6550984597387405,0.05588790727497428,0.012492202119573026,0.012816539096505375,1.45,"[1.0,1.8)",True,0.44999999999999996,"E3|home|[1.0,1.8)"
9768,2022-12-26,2022-12,E3,Salford,Barrow,draw,draw,0.3240432754201018,0.2989949748743718,0.025048300545729985,0.011689535373237457,-0.00046803185003407854,3.2,"[2.8,3.5)",True,2.2,"E3|draw|[2.8,3.5)"
9835,2022-12-29,2022-12,E3,Barrow,Tranmere,draw,away,0.4333085896148726,0.32653473344103395,0.10677385617383867,0.011689535373237457,0.2226952573007419,2.9,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
9867,2022-12-30,2022-12,E3,Stevenage,Crawley Town,home,home,0.6879974297076923,0.6180910495661476,0.06990638014154471,0.012492202119573026,0.03352299820982241,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
9945,2023-01-02,2023-01,E3,Stevenage,Gillingham,home,home,0.7153387755358155,0.6653992395437263,0.04993953599208922,0.012136571148123556,0.012611174318276186,1.44,"[1.0,1.8)",True,0.43999999999999995,"E3|home|[1.0,1.8)"
10007,2023-01-07,2023-01,E3,Leyton Orient,Doncaster,home,home,0.5999583648474409,0.556783031374282,0.04317533347315894,0.012136571148123556,-0.0007029507111605549,1.7,"[1.0,1.8)",True,0.7,"E3|home|[1.0,1.8)"
10154,2023-01-14,2023-01,E3,Mansfield,Crewe,home,draw,0.7064928209437344,0.6363636363636365,0.07012918458009798,0.012136571148123556,0.041534374693416254,1.5,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
10398,2023-01-24,2023-01,E3,Stockport,Bradford,home,draw,0.6091187607927296,0.5810011300937313,0.028117630698998308,0.012136571148123556,-0.01497938708640012,1.65,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
10458,2023-01-28,2023-01,E3,Rochdale,Carlisle,draw,away,0.2948827514987009,0.27149321266968324,0.023389538829017675,0.011380242329842796,-0.007741217908996623,3.5,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
10563,2023-01-31,2023-01,E3,Crewe,Stockport,away,draw,0.6490939673857089,0.5958549222797929,0.05323904510591604,0.011347363542764598,0.020394566148711046,1.6,"[1.0,1.8)",False,-1.0,"E3|away|[1.0,1.8)"
10638,2023-02-04,2023-02,E3,Crewe,Grimsby,home,away,0.2876009089031891,0.2644026109166588,0.023198297986530336,0.011785690982142353,-0.007065215484231557,3.6,"[3.5,4.0)",False,-1.0,"E3|home|[3.5,4.0)"
10669,2023-02-04,2023-02,E3,Carlisle,Harrogate,home,away,0.6257207480032704,0.5835764902042518,0.042144257799018536,0.011785690982142353,-0.005425207625772477,1.62,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
10780,2023-02-07,2023-02,E3,Doncaster,Tranmere,away,home,0.41177298329756873,0.38902743142144636,0.022745551876122372,0.011007218771842268,-0.018123876911970038,2.45,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
10829,2023-02-11,2023-02,E3,Barrow,Newport County,draw,away,0.3207944362897237,0.2989949748743718,0.021799461415351884,0.011056753565724407,-0.00883941528320209,3.2,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
10864,2023-02-11,2023-02,E3,Grimsby,Colchester,draw,away,0.29281062648744316,0.27240143369175623,0.020409192795686926,0.011056753565724407,-0.013861444773984322,3.5,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
10960,2023-02-14,2023-02,E3,Crewe,Hartlepool,draw,home,0.32052144567810587,0.2975303802430419,0.022991065435063962,0.011056753565724407,-0.009712985240379224,3.2,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
10962,2023-02-14,2023-02,E3,Newport County,Stevenage,away,draw,0.4104518000892672,0.38247011952191234,0.02798168056735484,0.011007218771842268,-0.0013885467064376211,2.5,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
10966,2023-02-14,2023-02,E3,Stockport,Crawley Town,home,home,0.7249293847377619,0.6818181818181818,0.04311120291958015,0.011785690982142353,-0.0015988287421326852,1.4,"[1.0,1.8)",True,0.3999999999999999,"E3|home|[1.0,1.8)"
11038,2023-02-18,2023-02,E3,Leyton Orient,Crawley Town,home,home,0.658211787833953,0.6175562417291575,0.04065554610479549,0.011785690982142353,-0.010968071816729763,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
11153,2023-02-21,2023-02,E3,Walsall,Crewe,home,draw,0.5896568634495186,0.5446293494704992,0.045027513979019385,0.011785690982142353,0.011274551817908485,1.75,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
11213,2023-02-25,2023-02,E3,Colchester,Northampton,away,away,0.4204705937496747,0.39616613418530355,0.02430445956437116,0.011007218771842268,-0.017287900053202132,2.4,"[2.2,2.8)",True,1.4,"E3|away|[2.2,2.8)"
11357,2023-03-04,2023-03,E3,Carlisle,Grimsby,home,home,0.5842320069190381,0.5533013648100332,0.03093064210900487,0.011685409879973007,-0.009494387122417458,1.73,"[1.0,1.8)",True,0.73,"E3|home|[1.0,1.8)"
11406,2023-03-04,2023-03,E3,Northampton,Crawley Town,home,home,0.6712498286778127,0.6180910495661476,0.05315877911166511,0.011685409879973007,0.009133560760694603,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
11410,2023-03-04,2023-03,E3,Sutton,Crewe,home,draw,0.6083381780101549,0.5687036382903567,0.039634539719798134,0.011685409879973007,-0.015522932585199989,1.65,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
11528,2023-03-07,2023-03,E3,Walsall,Bradford,draw,draw,0.3228817566141011,0.2986125075407199,0.02426924907338124,0.010943706741740868,-0.001798240408447227,3.2,"[2.8,3.5)",True,2.2,"E3|draw|[2.8,3.5)"
11709,2023-03-14,2023-03,E3,Stevenage,Crewe,home,home,0.7247650165499024,0.6728971962616822,0.051867820288220234,0.011685409879973007,-0.001688550662098831,1.4,"[1.0,1.8)",True,0.3999999999999999,"E3|home|[1.0,1.8)"
11774,2023-03-18,2023-03,E3,Bradford,Hartlepool,home,draw,0.6249724508767188,0.5925155925155925,0.03245685836112633,0.011685409879973007,-0.018740734405206627,1.6,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
11778,2023-03-18,2023-03,E3,Northampton,Crewe,home,home,0.6547447904520568,0.6168258974121139,0.03791889303994289,0.011685409879973007,-0.01611914772471179,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
11783,2023-03-18,2023-03,E3,Walsall,Gillingham,draw,home,0.3361504677351579,0.3067869752844252,0.029363492450732664,0.010943706741740868,0.008140959079592669,3.1,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
11886,2023-03-21,2023-03,E3,Gillingham,Crewe,home,home,0.5843905744675698,0.55,0.03439057446756977,0.011685409879973007,0.0022340380282943606,1.75,"[1.0,1.8)",True,0.75,"E3|home|[1.0,1.8)"
11889,2023-03-21,2023-03,E3,Bradford,Carlisle,draw,draw,0.33390122514520454,0.3056915790318696,0.02820964611333493,0.010943706741740868,0.0011683070507373383,3.1,"[2.8,3.5)",True,2.1,"E3|draw|[2.8,3.5)"
11972,2023-04-01,2023-04,E3,Leyton Orient,Carlisle,draw,home,0.3621575850718166,0.3157894736842105,0.046368111387606104,0.010868681492484848,0.053866710737995316,3.0,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
11980,2023-04-01,2023-04,E3,Colchester,Newport County,home,draw,0.3669681610995817,0.3423007428227264,0.024667418276855313,0.011606503266566679,-0.004987358067558123,2.8,"[2.8,3.5)",False,-1.0,"E3|home|[2.8,3.5)"
12129,2023-04-07,2023-04,E3,Carlisle,Tranmere,home,home,0.6066245916871276,0.5528431935669156,0.05378139812021199,0.011606503266566679,0.029381292967570305,1.73,"[1.0,1.8)",True,0.73,"E3|home|[1.0,1.8)"
12139,2023-04-07,2023-04,E3,Swindon,Mansfield,away,away,0.4557322357228881,0.42285270112708895,0.032879534595799176,0.010808983343105207,0.0010773178545115947,2.25,"[2.2,2.8)",True,1.25,"E3|away|[2.2,2.8)"
12288,2023-04-10,2023-04,E3,Walsall,Carlisle,draw,draw,0.35083697718990164,0.31840193704600483,0.03243504014389681,0.010868681492484848,0.019904887092250467,3.0,"[2.8,3.5)",True,2.0,"E3|draw|[2.8,3.5)"
12292,2023-04-10,2023-04,E3,Doncaster,Grimsby,away,away,0.39592989262220313,0.37101212924268684,0.02491776337951629,0.010808983343105207,-0.01794168133830032,2.55,"[2.2,2.8)",True,1.5499999999999998,"E3|away|[2.2,2.8)"
12294,2023-04-10,2023-04,E3,Leyton Orient,Harrogate,home,draw,0.6308139649657121,0.5915065722952477,0.03930739267046435,0.011606503266566679,-0.009268061281367257,1.6,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
12378,2023-04-15,2023-04,E3,Stevenage,AFC Wimbledon,home,home,0.6302671063910251,0.5885015844273427,0.04176552196368244,0.011606503266566679,0.0022301770616228733,1.62,"[1.0,1.8)",True,0.6200000000000001,"E3|home|[1.0,1.8)"
12398,2023-04-15,2023-04,E3,Swindon,Barrow,draw,draw,0.3280403897255343,0.2986125075407199,0.029427882184814402,0.010868681492484848,0.014949466345758333,3.2,"[2.8,3.5)",True,2.2,"E3|draw|[2.8,3.5)"
12492,2023-04-18,2023-04,E3,Sutton,Northampton,draw,away,0.32925818204128854,0.3053042763157895,0.023953905725499047,0.010868681492484848,-0.01299254829870844,3.1,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
12496,2023-04-18,2023-04,E3,Crawley Town,Colchester,draw,draw,0.35042497898403113,0.31012203876525485,0.040302940218776284,0.010868681492484848,0.052624522223793546,3.1,"[2.8,3.5)",True,2.1,"E3|draw|[2.8,3.5)"
12501,2023-04-18,2023-04,E3,Salford,Hartlepool,home,home,0.6677262526764348,0.6294322474164092,0.038294005260025576,0.011606503266566679,0.003863216597098207,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
12569,2023-04-22,2023-04,E3,Bradford,Gillingham,home,draw,0.5998562538352986,0.5628443977958542,0.03701185603944446,0.011606503266566679,2.457596684424246e-05,1.7,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
12572,2023-04-22,2023-04,E3,Leyton Orient,Crewe,home,home,0.6946991805540687,0.6578947368421052,0.03680444371196345,0.011606503266566679,-0.016346544705997168,1.44,"[1.0,1.8)",True,0.43999999999999995,"E3|home|[1.0,1.8)"
12573,2023-04-22,2023-04,E3,Mansfield,Stevenage,away,home,0.36650062443859616,0.34340222575516693,0.023098398683429222,0.010808983343105207,-0.0040634049326253585,2.8,"[2.8,3.5)",False,-1.0,"E3|away|[2.8,3.5)"
12576,2023-04-22,2023-04,E3,Stockport,Rochdale,home,home,0.745515692495302,0.6956875508543532,0.04982814164094884,0.011606503266566679,-0.0018835026489197881,1.36,"[1.0,1.8)",True,0.3600000000000001,"E3|home|[1.0,1.8)"
12777,2023-04-29,2023-04,E3,Mansfield,Harrogate,home,away,0.6738004505947142,0.6292134831460674,0.044586967448646764,0.011606503266566679,-0.006709079007778729,1.5,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
12779,2023-04-29,2023-04,E3,Rochdale,Sutton,away,home,0.4607985701377429,0.42285270112708895,0.03794586901065394,0.010808983343105207,0.012476570287934807,2.25,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
12780,2023-04-29,2023-04,E3,Stevenage,Grimsby,home,home,0.6162491568759239,0.5790533736153072,0.03719578326061668,0.011606503266566679,-0.0023396215445606883,1.65,"[1.0,1.8)",True,0.6499999999999999,"E3|home|[1.0,1.8)"
12879,2023-05-03,2023-05,E3,Crewe,Bradford,away,home,0.6083257343927467,0.5496094879953717,0.05871624639737505,0.010752153517194427,0.033802294914705655,1.73,"[1.0,1.8)",False,-1.0,"E3|away|[1.0,1.8)"
13024,2023-05-08,2023-05,E3,Barrow,Stevenage,away,away,0.4613614817469079,0.43220338983050843,0.029158091916399453,0.010752153517194427,-0.008659477894630285,2.2,"[2.2,2.8)",True,1.2000000000000002,"E3|away|[2.2,2.8)"
13034,2023-05-08,2023-05,E3,Grimsby,AFC Wimbledon,home,home,0.552845047178069,0.5182625863770978,0.03458246080097127,0.01152048269055032,-0.00937604698784067,1.83,"[1.8,2.2)",True,0.8300000000000001,"E3|home|[1.8,2.2)"
13038,2023-05-08,2023-05,E3,Stockport,Hartlepool,home,draw,0.8733015873871968,0.7907542579075426,0.08254732947965415,0.01152048269055032,0.034137325635975824,1.2,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
13041,2023-05-08,2023-05,E3,Tranmere,Northampton,away,away,0.6197053491324849,0.5689677299756157,0.05073761915686914,0.010752153517194427,0.01695183667753497,1.67,"[1.0,1.8)",True,0.6699999999999999,"E3|away|[1.0,1.8)"
13534,2023-08-05,2023-08,E3,Sutton,Notts County,away,home,0.6166048623338548,0.5652658981033842,0.051338964230470574,0.011491476203581276,0.010539354837556747,1.67,"[1.0,1.8)",False,-1.0,"E3|away|[1.0,1.8)"
13538,2023-08-05,2023-08,E3,Wrexham,Milton Keynes Dons,home,away,0.605776582007217,0.5670771224886585,0.038699459518558466,0.012423025231768236,-0.009099560185000577,1.67,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
13542,2023-08-05,2023-08,E3,Grimsby,AFC Wimbledon,home,draw,0.5051868790934828,0.4767025089605735,0.02848437013290933,0.012423025231768236,-0.014472292276570875,2.0,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
13607,2023-08-12,2023-08,E3,Gillingham,Accrington,home,home,0.5284237176964603,0.46676300578034685,0.0616607119161135,0.012423025231768236,0.05780141955261886,2.05,"[1.8,2.2)",True,1.0499999999999998,"E3|home|[1.8,2.2)"
13620,2023-08-12,2023-08,E3,Notts County,Grimsby,home,home,0.6569157191581352,0.5565726839985353,0.10034303515959986,0.012423025231768236,0.11497236049261494,1.73,"[1.0,1.8)",True,0.73,"E3|home|[1.0,1.8)"
13621,2023-08-12,2023-08,E3,Salford,Crawley Town,home,draw,0.6739782004504107,0.6355932203389831,0.03838498011142755,0.012423025231768236,-0.007667237172036323,1.5,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
13622,2023-08-12,2023-08,E3,Swindon,Crewe,home,draw,0.5679890490575981,0.5275084060230983,0.04048064303449972,0.012423025231768236,1.8842886493786182e-05,1.8,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
13715,2023-08-15,2023-08,E3,Stockport,Bradford,home,draw,0.5507745410461813,0.5155482815057284,0.03522625954045289,0.012423025231768236,-0.004049695743335691,1.85,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
13717,2023-08-15,2023-08,E3,Grimsby,Salford,home,home,0.38972413580364884,0.36087484811664644,0.0288492876870024,0.012423025231768236,-0.007698079195954111,2.63,"[2.2,2.8)",True,1.63,"E3|home|[2.2,2.8)"
13718,2023-08-15,2023-08,E3,Forest Green,Swindon,away,away,0.38431567167009584,0.3639535344725053,0.020362137197590557,0.011491476203581276,-0.01947236592306667,2.63,"[2.2,2.8)",True,1.63,"E3|away|[2.2,2.8)"
13779,2023-08-19,2023-08,E3,Colchester,Milton Keynes Dons,draw,away,0.3128242398541636,0.28824833702882485,0.024575902825338725,0.011554737825167954,-0.005810643304314578,3.3,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
13787,2023-08-19,2023-08,E3,Stockport,Barrow,home,home,0.5884448172503136,0.5533013648100332,0.03514345244028039,0.012423025231768236,-0.003482299807916478,1.73,"[1.0,1.8)",True,0.73,"E3|home|[1.0,1.8)"
13790,2023-08-19,2023-08,E3,Wrexham,Swindon,home,draw,0.6662579968355675,0.6026768243366641,0.06358117249890338,0.012423025231768236,0.026520905417964924,1.57,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
13805,2023-08-19,2023-08,E3,Forest Green,Newport County,draw,away,0.31363179585533935,0.28945630640545894,0.024175489449880405,0.011554737825167954,-0.0031457085004344965,3.3,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
13931,2023-08-26,2023-08,E3,Gillingham,Colchester,home,away,0.5781971134619206,0.5392195506503745,0.038977562811546074,0.012423025231768236,-0.009895345597233263,1.75,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
13938,2023-08-26,2023-08,E3,AFC Wimbledon,Forest Green,home,draw,0.5812663187415634,0.517875474669351,0.0633908440722124,0.012423025231768236,0.04098322712292535,1.83,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
13947,2023-08-26,2023-08,E3,Salford,Accrington,home,away,0.5563096518804584,0.5182625863770978,0.03804706550336068,0.012423025231768236,-0.004687473232896755,1.83,"[1.8,2.2)",False,-1.0,"E3|home|[1.8,2.2)"
13988,2023-08-26,2023-08,E3,Notts County,Tranmere,home,home,0.6690728233463147,0.6113851843302694,0.057687639016045233,0.012423025231768236,0.03094018303983792,1.57,"[1.0,1.8)",True,0.5700000000000001,"E3|home|[1.0,1.8)"
14110,2023-09-02,2023-09,E3,Crewe,Milton Keynes Dons,away,home,0.4386402095474827,0.41349548842683403,0.02514472112064864,0.01160506483791054,-0.01781916716798415,2.3,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
14118,2023-09-02,2023-09,E3,Notts County,Accrington,home,home,0.6658222432283303,0.5932203389830508,0.07260190424527946,0.01252367707473071,0.04527770584575941,1.6,"[1.0,1.8)",True,0.6000000000000001,"E3|home|[1.0,1.8)"
14224,2023-09-09,2023-09,E3,Forest Green,Crewe,draw,away,0.2948916784909421,0.2726406101048618,0.02225106838608032,0.011622737960416891,-0.00855870814316173,3.5,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
14227,2023-09-09,2023-09,E3,AFC Wimbledon,Stockport,home,away,0.37006660136878455,0.3458980044345898,0.024168596934194764,0.01252367707473071,-0.016756958191352034,2.75,"[2.2,2.8)",False,-1.0,"E3|home|[2.2,2.8)"
14235,2023-09-09,2023-09,E3,Wrexham,Doncaster,home,home,0.7171275793070585,0.6613756613756613,0.05575191793139722,0.01252367707473071,0.014629619214552081,1.44,"[1.0,1.8)",True,0.43999999999999995,"E3|home|[1.0,1.8)"
14259,2023-09-15,2023-09,E3,Salford,Notts County,away,away,0.47053470443196,0.4324734446130501,0.0380612598189099,0.01160506483791054,0.00964520710690886,2.2,"[2.2,2.8)",True,1.2000000000000002,"E3|away|[2.2,2.8)"
14305,2023-09-16,2023-09,E3,Forest Green,Doncaster,draw,away,0.30033959246533115,0.2796610169491525,0.020678575516178632,0.011622737960416891,-0.018362694683291547,3.4,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
14460,2023-09-23,2023-09,E3,Sutton,Milton Keynes Dons,draw,draw,0.30080577555770927,0.2803514376996806,0.020454337858028693,0.011622737960416891,-0.016777672169206004,3.4,"[2.8,3.5)",True,2.4,"E3|draw|[2.8,3.5)"
14491,2023-09-23,2023-09,E3,Mansfield,Barrow,home,home,0.6077149543140613,0.5790533736153072,0.02866158069875413,0.01252367707473071,-0.01793439255510454,1.65,"[1.0,1.8)",True,0.6499999999999999,"E3|home|[1.0,1.8)"
14494,2023-09-23,2023-09,E3,Notts County,Forest Green,home,home,0.6991359511104308,0.6217557060086298,0.07738024510180097,0.01252367707473071,0.05051677927462128,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
14496,2023-09-23,2023-09,E3,Harrogate,Salford,away,home,0.42177287827871707,0.3956834532374101,0.026089425041306957,0.01160506483791054,-0.01559724774206428,2.4,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
14716,2023-09-30,2023-09,E3,AFC Wimbledon,Tranmere,home,home,0.5980896653851421,0.5627009646302251,0.03538870075491696,0.01252367707473071,-0.004537819872300619,1.7,"[1.0,1.8)",True,0.7,"E3|home|[1.0,1.8)"
14726,2023-09-30,2023-09,E3,Swindon,Grimsby,away,home,0.23050314194191565,0.21076011846001974,0.01974302348189591,0.01160506483791054,-0.014958653031976965,4.5,"[4.0,5.0)",False,-1.0,"E3|away|[4.0,5.0)"
14727,2023-09-30,2023-09,E3,Wrexham,Crewe,home,draw,0.7390938452366533,0.6803939122649956,0.058699932971657764,0.01252367707473071,0.017198235426691744,1.4,"[1.0,1.8)",False,-1.0,"E3|home|[1.0,1.8)"
14854,2023-10-03,2023-10,E3,Harrogate,AFC Wimbledon,away,away,0.46928902112445764,0.44510940714419295,0.02417961398026469,0.011735029780069817,-0.016258918609566186,2.15,"[1.8,2.2)",True,1.15,"E3|away|[1.8,2.2)"
14858,2023-10-03,2023-10,E3,Stockport,Forest Green,home,home,0.755780950694037,0.6775907883082374,0.07819016238579957,0.012660249512098638,0.040368981654713476,1.4,"[1.0,1.8)",True,0.3999999999999999,"E3|home|[1.0,1.8)"
14859,2023-10-03,2023-10,E3,Notts County,Swindon,home,home,0.5743691223523993,0.5198277142432793,0.054541408109120004,0.012660249512098638,0.027927237297750374,1.83,"[1.8,2.2)",True,0.8300000000000001,"E3|home|[1.8,2.2)"
14946,2023-10-07,2023-10,E3,Salford,Crewe,draw,home,0.30091629601843634,0.27342435010286137,0.027491945915574967,0.01176011934607092,0.012046618353279026,3.5,"[3.5,4.0)",False,-1.0,"E3|draw|[3.5,4.0)"
15051,2023-10-14,2023-10,E3,Harrogate,Stockport,away,away,0.5763164569751961,0.5446293494704992,0.03168710750469683,0.011735029780069817,-0.01198250240852905,1.75,"[1.0,1.8)",True,0.75,"E3|away|[1.0,1.8)"
15068,2023-10-14,2023-10,E3,Wrexham,Salford,home,home,0.6797558116671307,0.6217557060086298,0.05800010565850089,0.012660249512098638,0.0206562100971992,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
15077,2023-10-20,2023-10,E3,Tranmere,Doncaster,draw,away,0.3088706598353863,0.2885308968502044,0.02033976298518192,0.01176011934607092,-0.019535216385259235,3.3,"[2.8,3.5)",False,-1.0,"E3|draw|[2.8,3.5)"
15087,2023-10-21,2023-10,E3,Bradford,Wrexham,away,draw,0.4389247314003114,0.39898038346447967,0.03994434793583174,0.011735029780069817,0.0167114898561751,2.38,"[2.2,2.8)",False,-1.0,"E3|away|[2.2,2.8)"
15133,2023-10-21,2023-10,E3,Stockport,Grimsby,home,home,0.6585661312196915,0.6175562417291575,0.04100988949053408,0.012660249512098638,-0.011764000987382839,1.53,"[1.0,1.8)",True,0.53,"E3|home|[1.0,1.8)"
15256,2023-10-24,2023-10,E3,Harrogate,Mansfield,away,away,0.6769467822186991,0.5902192242833053,0.08672755793539377,0.011735029780069817,0.07764303895057956,1.62,"[1.0,1.8)",True,0.6200000000000001,"E3|away|[1.0,1.8)"
15261,2023-10-24,2023-10,E3,Wrexham,Sutton,home,home,0.7486688587208732,0.6854653828519028,0.06320347586897035,0.012660249512098638,0.030412052892284214,1.4,"[1.0,1.8)",True,0.3999999999999999,"E3|home|[1.0,1.8)"
15265,2023-10-24,2023-10,E3,Notts County,Newport County,home,home,0.6606563242969702,0.6098357297414951,0.05082059455547505,0.012660249512098638,0.004393915916550917,1.55,"[1.0,1.8)",True,0.55,"E3|home|[1.0,1.8)"
15311,2023-10-28,2023-10,E3,Mansfield,Walsall,home,home,0.6782350521366922,0.6272727272727273,0.0509623248639649,0.012660249512098638,-0.0016377960631096533,1.5,"[1.0,1.8)",True,0.5,"E3|home|[1.0,1.8)"
