date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2022-12-10,0,0.0,0,0.0,-58.1,False,
2022-12-11,1,10.0,0,0.0,-58.1,False,
2022-12-12,1,10.0,1,23.5,-34.6,False,
2022-12-13,0,0.0,1,-10.0,-44.6,False,
2022-12-14,0,0.0,0,0.0,-44.6,False,
2022-12-15,0,0.0,0,0.0,-44.6,False,
2022-12-16,0,0.0,0,0.0,-44.6,False,
2022-12-17,1,10.0,0,0.0,-44.6,False,
2022-12-18,1,10.0,1,21.9,-22.7,False,
2022-12-19,0,0.0,1,-10.0,-32.7,False,
2022-12-20,0,0.0,0,0.0,-32.7,False,
2022-12-21,0,0.0,0,0.0,-32.7,False,
2022-12-22,0,0.0,0,0.0,-32.7,False,
2022-12-23,0,0.0,0,0.0,-32.7,False,
2022-12-24,0,0.0,0,0.0,-32.7,False,
2022-12-25,0,0.0,0,0.0,-32.7,False,
2022-12-26,1,10.0,0,0.0,-32.7,False,
2022-12-27,0,0.0,1,-10.0,-42.7,False,
2022-12-28,0,0.0,0,0.0,-42.7,False,
2022-12-29,0,0.0,0,0.0,-42.7,False,
2022-12-30,0,0.0,0,0.0,-42.7,False,
2022-12-31,0,0.0,0,0.0,-42.7,False,
2023-01-01,0,0.0,0,0.0,-42.7,False,
2023-01-02,0,0.0,0,0.0,-42.7,False,
2023-01-03,0,0.0,0,0.0,-42.7,False,
2023-01-04,0,0.0,0,0.0,-42.7,False,
2023-01-05,0,0.0,0,0.0,-42.7,False,
2023-01-06,1,10.0,0,0.0,-42.7,False,
2023-01-07,0,0.0,1,-10.0,-52.7,False,
2023-01-08,0,0.0,0,0.0,-52.7,False,
2023-01-09,1,10.0,0,0.0,-52.7,False,
2023-01-10,0,0.0,1,-10.0,-62.7,False,
2023-01-11,0,0.0,0,0.0,-62.7,False,
2023-01-12,0,0.0,0,0.0,-62.7,False,
2023-01-13,0,0.0,0,0.0,-62.7,False,
2023-01-14,1,10.0,0,0.0,-62.7,False,
2023-01-15,1,10.0,1,21.5,-41.2,False,
2023-01-16,0,0.0,1,-10.0,-51.2,False,
2023-01-17,0,0.0,0,0.0,-51.2,False,
2023-01-18,0,0.0,0,0.0,-51.2,False,
2023-01-19,0,0.0,0,0.0,-51.2,False,
2023-01-20,1,10.0,0,0.0,-51.2,False,
2023-01-21,1,10.0,1,-10.0,-61.2,False,
2023-01-22,1,10.0,1,-10.0,-71.2,False,
2023-01-23,0,0.0,1,-10.0,-81.2,False,
2023-01-24,0,0.0,0,0.0,-81.2,False,
2023-01-25,0,0.0,0,0.0,-81.2,False,
2023-01-26,0,0.0,0,0.0,-81.2,False,
2023-01-27,0,0.0,0,0.0,-81.2,False,
2023-01-28,1,10.0,0,0.0,-81.2,False,
2023-01-29,1,10.0,1,24.2,-57.0,False,
2023-01-30,1,10.0,1,-10.0,-67.0,False,
2023-01-31,0,0.0,1,-10.0,-77.0,False,
2023-02-01,0,0.0,0,0.0,-77.0,False,
2023-02-02,0,0.0,0,0.0,-77.0,False,
2023-02-03,1,10.0,0,0.0,-77.0,False,
2023-02-04,1,10.0,1,-10.0,-87.0,False,
2023-02-05,1,10.0,1,22.3,-64.7,False,
2023-02-06,0,0.0,1,-10.0,-74.7,False,
2023-02-07,0,0.0,0,0.0,-74.7,False,
2023-02-08,0,0.0,0,0.0,-74.7,False,
2023-02-09,0,0.0,0,0.0,-74.7,False,
2023-02-10,0,0.0,0,0.0,-74.7,False,
2023-02-11,1,10.0,0,0.0,-74.7,False,
2023-02-12,0,0.0,1,-10.0,-84.7,False,
2023-02-13,0,0.0,0,0.0,-84.7,False,
2023-02-14,0,0.0,0,0.0,-84.7,False,
2023-02-15,0,0.0,0,0.0,-84.7,False,
2023-02-16,0,0.0,0,0.0,-84.7,False,
2023-02-17,0,0.0,0,0.0,-84.7,False,
2023-02-18,1,10.0,0,0.0,-84.7,False,
2023-02-19,1,10.0,1,21.8,-62.9,False,
2023-02-20,0,0.0,1,20.8,-42.1,False,
2023-02-21,0,0.0,0,0.0,-42.1,False,
2023-02-22,0,0.0,0,0.0,-42.1,False,
2023-02-23,0,0.0,0,0.0,-42.1,False,
2023-02-24,0,0.0,0,0.0,-42.1,False,
2023-02-25,1,10.0,0,0.0,-42.1,False,
2023-02-26,1,10.0,1,22.2,-19.9,False,
2023-02-27,1,10.0,1,21.0,1.1,False,
2023-02-28,1,10.0,1,6.8,7.9,False,
2023-03-01,1,10.0,1,-10.0,-2.1,False,
2023-03-02,0,0.0,1,20.8,18.7,False,
2023-03-03,1,10.0,0,0.0,18.7,False,
2023-03-04,1,10.0,1,-10.0,8.7,False,
2023-03-05,1,10.0,1,7.0,15.7,False,
2023-03-06,0,0.0,1,21.9,37.6,False,
2023-03-07,0,0.0,0,0.0,37.6,False,
2023-03-08,0,0.0,0,0.0,37.6,False,
2023-03-09,0,0.0,0,0.0,37.6,False,
2023-03-10,1,10.0,0,0.0,37.6,False,
2023-03-11,1,10.0,1,-10.0,27.6,False,
2023-03-12,1,10.0,1,21.0,48.6,False,
2023-03-13,0,0.0,1,-10.0,38.6,False,
2023-03-14,0,0.0,0,0.0,38.6,False,
2023-03-15,0,0.0,0,0.0,38.6,False,
2023-03-16,0,0.0,0,0.0,38.6,False,
2023-03-17,1,10.0,0,0.0,38.6,False,
2023-03-18,1,10.0,1,-10.0,28.6,False,
2023-03-19,0,0.0,1,-10.0,18.6,False,
2023-03-20,0,0.0,0,0.0,18.6,False,
2023-03-21,0,0.0,0,0.0,18.6,False,
2023-03-22,0,0.0,0,0.0,18.6,False,
2023-03-23,0,0.0,0,0.0,18.6,False,
2023-03-24,0,0.0,0,0.0,18.6,False,
2023-03-25,0,0.0,0,0.0,18.6,False,
2023-03-26,0,0.0,0,0.0,18.6,False,
2023-03-27,0,0.0,0,0.0,18.6,False,
2023-03-28,0,0.0,0,0.0,18.6,False,
2023-03-29,0,0.0,0,0.0,18.6,False,
2023-03-30,0,0.0,0,0.0,18.6,False,
2023-03-31,0,0.0,0,0.0,18.6,False,
2023-04-01,1,10.0,0,0.0,18.6,False,
2023-04-02,1,10.0,1,-10.0,8.6,False,
2023-04-03,0,0.0,1,21.6,30.2,False,
2023-04-04,0,0.0,0,0.0,30.2,False,
2023-04-05,0,0.0,0,0.0,30.2,False,
2023-04-06,0,0.0,0,0.0,30.2,False,
2023-04-07,0,0.0,0,0.0,30.2,False,
2023-04-08,1,10.0,0,0.0,30.2,False,
2023-04-09,1,10.0,1,7.0,37.2,False,
2023-04-10,1,10.0,1,-10.0,27.2,False,
2023-04-11,0,0.0,1,-10.0,17.2,False,
2023-04-12,0,0.0,0,0.0,17.2,False,
2023-04-13,0,0.0,0,0.0,17.2,False,
2023-04-14,1,10.0,0,0.0,17.2,False,
2023-04-15,1,10.0,1,20.2,37.4,False,
2023-04-16,1,10.0,1,-10.0,27.4,False,
2023-04-17,0,0.0,1,-10.0,17.4,False,
2023-04-18,0,0.0,0,0.0,17.4,False,
2023-04-19,0,0.0,0,0.0,17.4,False,
2023-04-20,0,0.0,0,0.0,17.4,False,
2023-04-21,1,10.0,0,0.0,17.4,False,
2023-04-22,1,10.0,1,-10.0,7.4,False,
2023-04-23,1,10.0,1,23.9,31.3,False,
2023-04-24,0,0.0,1,-10.0,21.3,False,
2023-04-25,0,0.0,0,0.0,21.3,False,
2023-04-26,1,10.0,0,0.0,21.3,False,
2023-04-27,0,0.0,1,4.2,25.5,False,
2023-04-28,0,0.0,0,0.0,25.5,False,
2023-04-29,0,0.0,0,0.0,25.5,False,
2023-04-30,0,0.0,0,0.0,25.5,False,
2023-05-01,1,10.0,0,0.0,25.5,False,
2023-05-02,1,10.0,1,22.8,48.3,False,
2023-05-03,0,0.0,1,6.2,54.5,False,
2023-05-04,1,10.0,0,0.0,54.5,False,
2023-05-05,1,10.0,1,-10.0,44.5,False,
2023-05-06,1,10.0,1,-10.0,34.5,False,
2023-05-07,0,0.0,1,-10.0,24.5,False,
2023-05-08,0,0.0,0,0.0,24.5,False,
2023-05-09,0,0.0,0,0.0,24.5,False,
2023-05-10,0,0.0,0,0.0,24.5,False,
2023-05-11,0,0.0,0,0.0,24.5,False,
2023-05-12,0,0.0,0,0.0,24.5,False,
2023-05-13,1,10.0,0,0.0,24.5,False,
2023-05-14,0,0.0,1,-10.0,14.5,False,
2023-05-15,0,0.0,0,0.0,14.5,False,
2023-05-16,0,0.0,0,0.0,14.5,False,
2023-05-17,0,0.0,0,0.0,14.5,False,
2023-05-18,0,0.0,0,0.0,14.5,False,
2023-05-19,1,10.0,0,0.0,14.5,False,
2023-05-20,1,10.0,1,24.1,38.6,False,
2023-05-21,0,0.0,1,6.7,45.3,False,
2023-05-22,0,0.0,0,0.0,45.3,False,
2023-05-23,1,10.0,0,0.0,45.3,False,
2023-05-24,1,10.0,1,3.7,49.0,False,
2023-05-25,0,0.0,1,6.5,55.5,False,
2023-05-26,0,0.0,0,0.0,55.5,False,
2023-05-27,0,0.0,0,0.0,55.5,False,
2023-05-28,0,0.0,0,0.0,55.5,False,
2023-05-29,0,0.0,0,0.0,55.5,False,
2023-05-30,0,0.0,0,0.0,55.5,False,
2023-05-31,0,0.0,0,0.0,55.5,False,
2023-06-01,0,0.0,0,0.0,55.5,False,
2023-06-02,0,0.0,0,0.0,55.5,False,
2023-06-03,0,0.0,0,0.0,55.5,False,
2023-06-04,1,10.0,0,0.0,55.5,False,
2023-06-05,0,0.0,1,7.1,62.6,False,
2023-06-06,0,0.0,0,0.0,62.6,False,
2023-06-07,0,0.0,0,0.0,62.6,False,
2023-06-08,0,0.0,0,0.0,62.6,False,
2023-06-09,0,0.0,0,0.0,62.6,False,
2023-06-10,0,0.0,0,0.0,62.6,False,
2023-06-11,0,0.0,0,0.0,62.6,False,
2023-06-12,0,0.0,0,0.0,62.6,False,
2023-06-13,0,0.0,0,0.0,62.6,False,
2023-06-14,0,0.0,0,0.0,62.6,False,
2023-06-15,0,0.0,0,0.0,62.6,False,
2023-06-16,0,0.0,0,0.0,62.6,False,
2023-06-17,0,0.0,0,0.0,62.6,False,
2023-06-18,0,0.0,0,0.0,62.6,False,
2023-06-19,0,0.0,0,0.0,62.6,False,
2023-06-20,0,0.0,0,0.0,62.6,False,
2023-06-21,0,0.0,0,0.0,62.6,False,
2023-06-22,0,0.0,0,0.0,62.6,False,
2023-06-23,0,0.0,0,0.0,62.6,False,
2023-06-24,0,0.0,0,0.0,62.6,False,
2023-06-25,0,0.0,0,0.0,62.6,False,
2023-06-26,0,0.0,0,0.0,62.6,False,
2023-06-27,0,0.0,0,0.0,62.6,False,
2023-06-28,0,0.0,0,0.0,62.6,False,
2023-06-29,0,0.0,0,0.0,62.6,False,
2023-06-30,0,0.0,0,0.0,62.6,False,
2023-07-01,0,0.0,0,0.0,62.6,False,
2023-07-02,0,0.0,0,0.0,62.6,False,
2023-07-03,0,0.0,0,0.0,62.6,False,
2023-07-04,0,0.0,0,0.0,62.6,False,
2023-07-05,0,0.0,0,0.0,62.6,False,
2023-07-06,0,0.0,0,0.0,62.6,False,
2023-07-07,0,0.0,0,0.0,62.6,False,
2023-07-08,0,0.0,0,0.0,62.6,False,
2023-07-09,0,0.0,0,0.0,62.6,False,
2023-07-10,0,0.0,0,0.0,62.6,False,
2023-07-11,0,0.0,0,0.0,62.6,False,
2023-07-12,0,0.0,0,0.0,62.6,False,
2023-07-13,0,0.0,0,0.0,62.6,False,
2023-07-14,0,0.0,0,0.0,62.6,False,
2023-07-15,0,0.0,0,0.0,62.6,False,
2023-07-16,0,0.0,0,0.0,62.6,False,
2023-07-17,0,0.0,0,0.0,62.6,False,
2023-07-18,0,0.0,0,0.0,62.6,False,
2023-07-19,0,0.0,0,0.0,62.6,False,
2023-07-20,0,0.0,0,0.0,62.6,False,
2023-07-21,0,0.0,0,0.0,62.6,False,
2023-07-22,0,0.0,0,0.0,62.6,False,
2023-07-23,0,0.0,0,0.0,62.6,False,
2023-07-24,0,0.0,0,0.0,62.6,False,
2023-07-25,0,0.0,0,0.0,62.6,False,
2023-07-26,0,0.0,0,0.0,62.6,False,
2023-07-27,0,0.0,0,0.0,62.6,False,
2023-07-28,0,0.0,0,0.0,62.6,False,
2023-07-29,0,0.0,0,0.0,62.6,False,
2023-07-30,0,0.0,0,0.0,62.6,False,
2023-07-31,0,0.0,0,0.0,62.6,False,
2023-08-01,0,0.0,0,0.0,62.6,False,
2023-08-02,0,0.0,0,0.0,62.6,False,
2023-08-03,0,0.0,0,0.0,62.6,False,
2023-08-04,0,0.0,0,0.0,62.6,False,
2023-08-05,0,0.0,0,0.0,62.6,False,
2023-08-06,0,0.0,0,0.0,62.6,False,
2023-08-07,0,0.0,0,0.0,62.6,False,
2023-08-08,0,0.0,0,0.0,62.6,False,
2023-08-09,0,0.0,0,0.0,62.6,False,
2023-08-10,0,0.0,0,0.0,62.6,False,
2023-08-11,0,0.0,0,0.0,62.6,False,
2023-08-12,1,10.0,0,0.0,62.6,False,
2023-08-13,0,0.0,1,-10.0,52.6,False,
2023-08-14,1,10.0,0,0.0,52.6,False,
2023-08-15,0,0.0,1,3.0,55.6,False,
2023-08-16,0,0.0,0,0.0,55.6,False,
2023-08-17,0,0.0,0,0.0,55.6,False,
2023-08-18,1,10.0,0,0.0,55.6,False,
2023-08-19,1,10.0,1,20.7,76.3,False,
2023-08-20,0,0.0,1,-10.0,66.3,False,
2023-08-21,0,0.0,0,0.0,66.3,False,
2023-08-22,0,0.0,0,0.0,66.3,False,
2023-08-23,0,0.0,0,0.0,66.3,False,
2023-08-24,0,0.0,0,0.0,66.3,False,
2023-08-25,1,10.0,0,0.0,66.3,False,
2023-08-26,1,10.0,1,-10.0,56.3,False,
2023-08-27,1,10.0,1,-10.0,46.3,False,
2023-08-28,0,0.0,1,-10.0,36.3,False,
2023-08-29,1,10.0,0,0.0,36.3,False,
2023-08-30,1,10.0,1,-10.0,26.3,False,
2023-08-31,0,0.0,1,-10.0,16.3,False,
2023-09-01,0,0.0,0,0.0,16.3,False,
2023-09-02,1,10.0,0,0.0,16.3,False,
2023-09-03,1,10.0,1,-10.0,6.3,False,
2023-09-04,0,0.0,1,6.8,13.1,False,
2023-09-05,0,0.0,0,0.0,13.1,False,
2023-09-06,0,0.0,0,0.0,13.1,False,
2023-09-07,0,0.0,0,0.0,13.1,False,
2023-09-08,0,0.0,0,0.0,13.1,False,
2023-09-09,0,0.0,0,0.0,13.1,False,
2023-09-10,0,0.0,0,0.0,13.1,False,
2023-09-11,0,0.0,0,0.0,13.1,False,
2023-09-12,0,0.0,0,0.0,13.1,False,
2023-09-13,0,0.0,0,0.0,13.1,False,
2023-09-14,0,0.0,0,0.0,13.1,False,
2023-09-15,0,0.0,0,0.0,13.1,False,
2023-09-16,1,10.0,0,0.0,13.1,False,
2023-09-17,1,10.0,1,21.8,34.9,False,
2023-09-18,1,10.0,1,-10.0,24.9,False,
2023-09-19,0,0.0,1,-10.0,14.9,False,
2023-09-20,0,0.0,0,0.0,14.9,False,
2023-09-21,0,0.0,0,0.0,14.9,False,
2023-09-22,0,0.0,0,0.0,14.9,False,
2023-09-23,1,10.0,0,0.0,14.9,False,
2023-09-24,1,10.0,1,-10.0,4.9,False,
2023-09-25,0,0.0,1,-10.0,-5.1,False,
2023-09-26,1,10.0,0,0.0,-5.1,False,
2023-09-27,1,10.0,1,-10.0,-15.1,False,
2023-09-28,1,10.0,1,21.5,6.4,False,
2023-09-29,1,10.0,1,-10.0,-3.6,False,
2023-09-30,1,10.0,1,3.8,0.2,False,
2023-10-01,1,10.0,1,-10.0,-9.8,False,
2023-10-02,0,0.0,1,-10.0,-19.8,False,
2023-10-03,0,0.0,0,0.0,-19.8,False,
2023-10-04,0,0.0,0,0.0,-19.8,False,
2023-10-05,0,0.0,0,0.0,-19.8,False,
2023-10-06,0,0.0,0,0.0,-19.8,False,
2023-10-07,1,10.0,0,0.0,-19.8,False,
2023-10-08,1,10.0,1,22.2,2.4,False,
2023-10-09,0,0.0,1,23.1,25.5,False,
2023-10-10,0,0.0,0,0.0,25.5,False,
2023-10-11,0,0.0,0,0.0,25.5,False,
2023-10-12,0,0.0,0,0.0,25.5,False,
2023-10-13,0,0.0,0,0.0,25.5,False,
2023-10-14,0,0.0,0,0.0,25.5,False,
2023-10-15,0,0.0,0,0.0,25.5,False,
2023-10-16,0,0.0,0,0.0,25.5,False,
2023-10-17,0,0.0,0,0.0,25.5,False,
2023-10-18,0,0.0,0,0.0,25.5,False,
2023-10-19,0,0.0,0,0.0,25.5,False,
2023-10-20,1,10.0,0,0.0,25.5,False,
2023-10-21,1,10.0,1,-10.0,15.5,False,
2023-10-22,1,10.0,1,21.5,37.0,False,
2023-10-23,1,10.0,1,-10.0,27.0,False,
2023-10-24,1,10.0,1,23.4,50.4,False,
2023-10-25,0,0.0,1,-10.0,40.4,False,
2023-10-26,0,0.0,0,0.0,40.4,False,
2023-10-27,1,10.0,0,0.0,40.4,False,
2023-10-28,1,10.0,1,-10.0,30.4,False,
2023-10-29,1,10.0,1,24.0,54.4,False,
2023-10-30,0,0.0,1,-10.0,44.4,False,
2023-10-31,0,0.0,0,0.0,44.4,False,
2023-11-01,0,0.0,0,0.0,44.4,False,
2023-11-02,0,0.0,0,0.0,44.4,False,
2023-11-03,0,0.0,0,0.0,44.4,False,
2023-11-04,1,10.0,0,0.0,44.4,False,
2023-11-05,1,10.0,1,22.5,66.9,False,
2023-11-06,0,0.0,1,-10.0,56.9,False,
2023-11-07,0,0.0,0,0.0,56.9,False,
2023-11-08,1,10.0,0,0.0,56.9,False,
2023-11-09,0,0.0,1,24.3,81.2,False,
2023-11-10,1,10.0,0,0.0,81.2,False,
2023-11-11,1,10.0,1,-10.0,71.2,False,
2023-11-12,1,10.0,1,-10.0,61.2,False,
2023-11-13,0,0.0,1,-10.0,51.2,False,
2023-11-14,0,0.0,0,0.0,51.2,False,
2023-11-15,0,0.0,0,0.0,51.2,False,
2023-11-16,0,0.0,0,0.0,51.2,False,
2023-11-17,0,0.0,0,0.0,51.2,False,
2023-11-18,0,0.0,0,0.0,51.2,False,
2023-11-19,0,0.0,0,0.0,51.2,False,
2023-11-20,0,0.0,0,0.0,51.2,False,
2023-11-21,0,0.0,0,0.0,51.2,False,
2023-11-22,0,0.0,0,0.0,51.2,False,
2023-11-23,0,0.0,0,0.0,51.2,False,
2023-11-24,1,10.0,0,0.0,51.2,False,
2023-11-25,1,10.0,1,7.4,58.6,False,
2023-11-26,1,10.0,1,22.5,81.1,False,
2023-11-27,0,0.0,1,-10.0,71.1,False,
2023-11-28,1,10.0,0,0.0,71.1,False,
2023-11-29,0,0.0,1,19.4,90.5,False,
2023-11-30,0,0.0,0,0.0,90.5,False,
2023-12-01,1,10.0,0,0.0,90.5,False,
2023-12-02,1,10.0,1,-10.0,80.5,False,
2023-12-03,1,10.0,1,-10.0,70.5,False,
2023-12-04,1,10.0,1,-10.0,60.5,False,
2023-12-05,0,0.0,1,-10.0,50.5,False,
2023-12-06,0,0.0,0,0.0,50.5,False,
2023-12-07,0,0.0,0,0.0,50.5,False,
2023-12-08,0,0.0,0,0.0,50.5,False,
2023-12-09,1,10.0,0,0.0,50.5,False,
2023-12-10,1,10.0,1,-10.0,40.5,False,
2023-12-11,0,0.0,1,-10.0,30.5,False,
2023-12-12,0,0.0,0,0.0,30.5,False,
2023-12-13,0,0.0,0,0.0,30.5,False,
2023-12-14,0,0.0,0,0.0,30.5,False,
2023-12-15,1,10.0,0,0.0,30.5,False,
2023-12-16,1,10.0,1,-10.0,20.5,False,
2023-12-17,1,10.0,1,-10.0,10.5,False,
2023-12-18,1,10.0,1,-10.0,0.5,False,
2023-12-19,1,10.0,1,5.5,6.0,False,
2023-12-20,1,10.0,1,-10.0,-4.0,False,
2023-12-21,0,0.0,1,1.4,-2.6,False,
2023-12-22,0,0.0,0,0.0,-2.6,False,
2023-12-23,1,10.0,0,0.0,-2.6,False,
2023-12-24,0,0.0,1,22.2,19.6,False,
2023-12-25,0,0.0,0,0.0,19.6,False,
2023-12-26,1,10.0,0,0.0,19.6,False,
2023-12-27,0,0.0,1,23.7,43.3,False,
2023-12-28,0,0.0,0,0.0,43.3,False,
2023-12-29,0,0.0,0,0.0,43.3,False,
2023-12-30,0,0.0,0,0.0,43.3,False,
2023-12-31,0,0.0,0,0.0,43.3,False,
2024-01-01,0,0.0,0,0.0,43.3,False,
2024-01-02,1,10.0,0,0.0,43.3,False,
2024-01-03,1,10.0,1,-10.0,33.3,False,
2024-01-04,1,10.0,1,2.4,35.7,False,
2024-01-05,0,0.0,1,7.1,42.8,False,
2024-01-06,0,0.0,0,0.0,42.8,False,
2024-01-07,0,0.0,0,0.0,42.8,False,
2024-01-08,0,0.0,0,0.0,42.8,False,
2024-01-09,0,0.0,0,0.0,42.8,False,
2024-01-10,0,0.0,0,0.0,42.8,False,
2024-01-11,0,0.0,0,0.0,42.8,False,
2024-01-12,1,10.0,0,0.0,42.8,False,
2024-01-13,1,10.0,1,-10.0,32.8,False,
2024-01-14,1,10.0,1,-10.0,22.8,False,
2024-01-15,0,0.0,1,-10.0,12.8,False,
2024-01-16,0,0.0,0,0.0,12.8,False,
2024-01-17,0,0.0,0,0.0,12.8,False,
